title,words,characters,no spaces,no punctuation,no both
Chapter 814: Call Me Meng Hao!,2262,12630,10369,12223,9962
Chapter 815: Fan Donger,2118,12152,10035,11754,9637
Chapter 816: Battling the Goddess,2141,12238,10098,11834,9694
"Chapter 817: Here You Go, Inky!",2031,11455,9425,10998,8968
Chapter 818: Changing Fate!,2614,14550,11937,14047,11434
Chapter 819: A Flickering Vision of Ancient Times,2146,12215,10070,11813,9668
Chapter 820: Whos Trying to Steal My Business?,2261,12587,10327,12180,9920
Chapter 821: Mopping Up Li Linger!,2121,12077,9957,11668,9548
"Chapter 822: From Now On, Call Me Li'l Hai!",2337,12937,10601,12459,10123
Chapter 823: Ambush!,2130,12116,9987,11735,9606
Chapter 824: Wrecking the Ambush,2178,12493,10316,12124,9947
Chapter 825: Zhixiang Pays Her Debt!,2175,12216,10042,11807,9633
Chapter 826: !,2051,11788,9738,11401,9351
Chapter 827: Never Too Late for Revenge!,2363,13527,11165,13118,10756
Chapter 828: Invincible!,2100,11935,9836,11543,9444
Chapter 829: Severing Versus Hexing!,2338,13059,10722,12660,10323
Chapter 830: Evacuation!,2345,13403,11059,12969,10625
Chapter 831: The Grownups Arrive.,2355,13110,10756,12625,10271
Chapter 832: Everyone Is Released,2406,13348,10943,12868,10463
Chapter 833: An Amateurish Seduction Con,2256,12879,10624,12287,10032
Chapter 834: Take A Look and See Who I Am,2238,12444,10207,11861,9624
Chapter 835: Pill Demons Tribulation,2413,13943,11531,13581,11169
Chapter 836: The Door of Immortality Descends,2274,13284,11011,12928,10655
Chapter 837: Mistaken? Ill Still Do as I Said!,2248,13019,10772,12615,10368
"Chapter 838: So, You Are a Thief Too!",2463,13952,11490,13537,11075
Chapter 839: True Immortality is a Challenge!,2358,13552,11195,13159,10802
"Chapter 840: The Path Ahead Lies In The Stars, Not On This Planet",2198,12440,10243,12047,9850
Chapter 841: The Ancient Road of Trial by Fire is Opened!,2515,14067,11553,13635,11121
Chapter 842: Just a Misunderstanding.,2336,13217,10882,12809,10474
"Chapter 843: Fight For Supremacy, the Entire Way!",2512,14382,11871,13975,11464
Chapter 844: First Place in the First Stage!,2040,11897,9858,11533,9494
Chapter 845: Rising Star!,2234,12559,10326,12177,9944
Chapter 846: Fastest!,2323,13289,10967,12889,10567
Chapter 847: Talent. Cultivation. Age.,2137,12159,10023,11741,9605
"Chapter 848: Senior, Bring Another!",2151,12430,10280,12011,9861
Chapter 849: Creativity,2261,13168,10908,12750,10490
Chapter 850: Can the Leopard Change its Spots?,2178,12193,10016,11792,9615
Chapter 851: Loyal Personality,2256,12959,10704,12556,10301
Chapter 852: Flowers in Full Bloom,2251,12915,10665,12481,10231
Chapter 853: Nine Bridges!,2347,13290,10944,12842,10496
Chapter 854: Secret Clues!,2397,13613,11217,13198,10802
Chapter 855: A Writ of Karma!,2210,12746,10537,12301,10092
Chapter 856: Paragon Bridge,2121,12363,10243,11979,9859
Chapter 857: Warrior Pavilion!,2491,14184,11694,13762,11272
Chapter 858: The Last Time!,2237,12591,10355,12164,9928
Chapter 859: The Final Two Stages,2278,12768,10491,12404,10127
"Chapter 860: The Heart is Strong, the Dao is Unyielding!",2140,11929,9790,11499,9360
Chapter 861: First Place!,2360,13609,11250,13120,10761
Chapter 862: Provocation!,2361,13395,11035,12922,10562
Chapter 863: Pill Delivery Service!,2168,11967,9800,11566,9399
Chapter 864: The Real Ruins of Immortality!,2298,13063,10766,12546,10249
Chapter 865: Sixth Demon Sealing Hex!,2219,12582,10364,12189,9971
Chapter 866: I Am a God!,2254,12647,10394,12247,9994
Chapter 867: One Punch!,2540,14326,11787,13853,11314
Chapter 868: Junior Blood Immortal!,2177,12117,9941,11733,9557
Chapter 869: Top 32!,2115,11949,9835,11573,9459
Chapter 870: The Fiends Descend!,2229,12341,10113,11980,9752
Chapter 871: Invincible Power!,2314,12878,10565,12533,10220
Chapter 872: She Appears!,2215,12636,10422,12231,10017
Chapter 873: Shes a Paragon!,2143,12254,10112,11853,9711
Chapter 874: Semifinals!,2410,13756,11347,13236,10827
Chapter 875: Domineering!,2097,11984,9888,11592,9496
"Chapter 876: Four Battles, Four Victories!",2258,12702,10445,12238,9981
Chapter 877: Unleashed!,2300,13012,10713,12597,10298
Chapter 878: Eclipsing Everything,2113,12140,10028,11737,9625
Chapter 879: Peak Battle!,2149,12396,10248,12029,9881
Chapter 880: Shocking Transformations!,2278,12999,10722,12534,10257
Chapter 881: Sixth Demon Sealing Hex!,2067,11571,9505,11150,9084
Chapter 882: 13th in the Echelon!,2225,12665,10441,12269,10045
Chapter 883: Snatching Food From the Tigers Mouth!,2117,12113,9997,11685,9569
Chapter 884: Family Reunion,2494,13870,11377,13452,10959
Chapter 885: Revisiting Old Haunts,2168,12330,10163,11946,9779
Chapter 886: Another Challenge at the Dao Lakes!,2169,12142,9974,11731,9563
Chapter 887: The Essence of Divine Flame!,2311,12880,10570,12450,10140
Chapter 888: Let Them Fly On Their Own!,2321,12712,10392,12280,9960
Chapter 889: Killing Intent Lurking Everywhere!,2318,13308,10991,12892,10575
Chapter 890: Battling Formidable Opponents!,2182,12528,10347,12095,9914
Chapter 891: Divine Flame Incinerates Immortals!,2063,11878,9816,11471,9409
Chapter 892: East Heaven Gate,2773,15773,13001,15307,12535
Chapter 893: Might As Well Make a Scene!,2309,13067,10759,12667,10359
Chapter 894: His Bloodline Shakes the Clan!,2182,12349,10168,11866,9685
Chapter 895:,2098,12040,9943,11513,9416
Chapter 896: The Fang Clan of Planet East Victory!,2485,14296,11812,13861,11377
Chapter 897: Fang Wei!,2335,13372,11038,12925,10591
Chapter 898: Do You Want to Die?!,2368,13375,11008,12860,10493
Chapter 899: Difficult To Distinguish Between Enmity and Benevolence,2426,13442,11017,12926,10501
Chapter 900: Third Grandpa,2429,13794,11366,13276,10848
Chapter 901: A Thorough Investigation,2121,12187,10067,11775,9655
Chapter 902: The Fang Clans Dao of Alchemy,2428,13924,11497,13507,11080
Chapter 903: A Brief Glimpse of Cutting Edge Talent,2600,14734,12135,14264,11665
Chapter 904: Now Lets Throw Down,2524,14560,12037,14058,11535
Chapter 905: Plant and Vegetation Throwdown!,2271,13141,10871,12730,10460
Chapter 906: The First Waves,2200,12545,10346,12076,9877
Chapter 907: I Definitely Dont Want It!,2202,12509,10308,12078,9877
Chapter 908: Medicine Pavilion,2420,13861,11442,13308,10889
Chapter 909: Cheating!,2228,13010,10783,12587,10360
Chapter 910: Rocking the Pavilion,2269,13254,10986,12837,10569
Chapter 911: Changes in the Dao of Alchemy Division,2456,14016,11561,13561,11106
Chapter 912: Hardships Prompt Changes!,2311,13207,10897,12825,10515
Chapter 913: Changes Bring Solutions!,2143,12535,10393,12099,9957
Chapter 914: First in Level After Level,2139,12468,10330,12021,9883
Chapter 915: Striving for the Pinnacle of Perfection,2150,12687,10538,12247,10098
Chapter 916: Lotuses With Each Step!,2128,12256,10129,11869,9742
Chapter 917: Climbing Higher!,2241,12768,10528,12396,10156
Chapter 918: Boundless Dao of Alchemy!,2183,12732,10550,12333,10151
Chapter 919: Provocation,2249,12596,10348,12139,9891
Chapter 920: An Exception!,2095,11805,9711,11342,9248
Chapter 921: Objectives,2333,13113,10781,12645,10313
Chapter 922: The Sound of a Drum in the Pill Pavilion!,2291,13116,10826,12630,10340
Chapter 923: Meng Hao Concocts Pills!,2221,12775,10555,12343,10123
Chapter 924: Skypalace Sunspirit Pill,2256,12871,10616,12478,10223
Chapter 925: Future Brother-In-Law?,2388,13750,11363,13284,10897
Chapter 926: Daos and Tools!,2406,13430,11025,12983,10578
Chapter 927: The Shore of Brightmoon Lake,2285,12892,10608,12437,10153
Chapter 928: You Stick With Me!,2196,12331,10136,11961,9766
Chapter 929: Momentum,2079,11902,9824,11519,9441
Chapter 930: Ive Missed All of You!,2202,12456,10255,12013,9812
Chapter 931: Her Name is Fang Yu!,2276,12690,10415,12159,9884
Chapter 932: The Sun Rises!,2411,13251,10841,12807,10397
Chapter 933: Struggling for Supremacy!,2253,12776,10524,12307,10055
Chapter 934: Neck and Neck,2090,11949,9860,11515,9426
Chapter 935: My Nirvana Fruits!,1923,11182,9260,10760,8838
Chapter 936: Meng Hao vs. Fang Wei,2474,13967,11494,13508,11035
Chapter 937: One Punch!,2123,11811,9689,11387,9265
Chapter 938: Rise of a Blazing Sun,1978,11262,9285,10897,8920
Chapter 939: True Saint Fleshly Body,2114,12193,10080,11802,9689
Chapter 940: The End of the Sky,1919,10708,8790,10323,8405
Chapter 941: Ten Breaths of Time With the Sun!,1918,11054,9137,10664,8747
Chapter 942: Third Divine Ability!,1957,11283,9327,10910,8954
Chapter 943: Killing Intent Approaches!,2176,12319,10144,11951,9776
Chapter 944: The Grand Elders Stance,2349,13423,11075,13019,10671
Chapter 945: Meng Haos Tears,2170,12319,10150,11969,9800
"Chapter 946: A Certain Object, a Certain Person",2216,12354,10139,12023,9808
Chapter 947: Quasi-Dao Paragons,2072,11725,9654,11344,9273
Chapter 948: Terrifying,2083,11743,9661,11344,9262
Chapter 949: Perilous Ancestral Land,1933,11037,9105,10683,8751
Chapter 950: Scraping It Clean,2217,12524,10308,12119,9903
Chapter 951: Demon Sealers Appear Again!,2242,13039,10798,12655,10414
Chapter 952: Nine Nethermountains,2186,12597,10412,12222,10037
Chapter 953: Getting the Hang of the Sixth Hex,2366,13072,10707,12623,10258
Chapter 954: Sun and Moon in the Nine Nethermountains!,2302,13028,10727,12661,10360
Chapter 955: Fifth Demon Sealing Hex,2166,12387,10222,12016,9851
Chapter 956: A Struggle of Generations!,2461,13948,11488,13557,11097
Chapter 957: Inner Devils of the Chosen!,2148,12290,10143,11894,9747
Chapter 958: Strolling Through the Immortal Kingdom!,2127,12138,10012,11730,9604
Chapter 959: A Lamp!,2419,13719,11301,13292,10874
Chapter 960: Whose Soul Lamp Is It!?,2199,12405,10207,12056,9858
Chapter 961: Necropolis,2280,13043,10764,12656,10377
Chapter 962: The Number One Person of Immortal Destiny!,2406,13987,11582,13622,11217
"Chapter 963: Fang Hao, Come Out and Fight!",2101,12205,10105,11797,9697
Chapter 964: Were Waiting!,2220,12861,10642,12429,10210
Chapter 965: The Ancestral Land Opens!,2363,13515,11153,13083,10721
Chapter 966: Storm Winds Gather!,2052,11867,9816,11480,9429
Chapter 967: Paragon Immortal Tribulation,2193,12917,10725,12437,10245
Chapter 968: Transcending Tribulation!,2173,12751,10579,12407,10235
"Chapter 969: 30,000-meter Dharma Idol!",2106,12616,10511,12108,10003
Chapter 970: Paragon Immortal Palaces!,2153,12812,10660,12345,10193
Chapter 971: I am Fang Mu!,2090,11837,9748,11430,9341
Chapter 972: Barrage on the Door of Immortality,2149,12291,10143,11852,9704
Chapter 973: Opening the Immortal Meridians,2059,12168,10110,11755,9697
Chapter 974: More than 100 Meridians!,2174,12702,10529,12271,10098
Chapter 975: Blood Demon and Resurrection Lily!,2182,12635,10454,12169,9988
Chapter 976: Dao Corroboration!,2217,13208,10992,12729,10513
Chapter 977: Demon Sealer Meridians!,2086,11927,9842,11542,9457
Chapter 978: An Immortal Flying Through the Sky!,2220,12877,10658,12441,10222
Chapter 979: An Eruption of Good Fortune!,2365,13553,11189,13081,10717
Chapter 980: Foster Father Sends a Meridian!,2103,12029,9927,11650,9548
Chapter 981: Illusory Soul Lamps!,2045,11677,9633,11239,9195
Chapter 982: Xu Qings Good Fortune!,2330,13527,11198,13004,10675
Chapter 983: The Great Circle of the Immortal Realm!,1949,11440,9492,10995,9047
Chapter 984: 33 Heavens!,2064,12007,9944,11554,9491
Chapter 985: Fight!,2177,12238,10062,11818,9642
Chapter 986: Six Experts vs. Meng Hao!,2129,12200,10072,11785,9657
Chapter 987: Meng Hao's Ambition!,2753,15978,13226,15459,12707
"Chapter 988: Wanna Get Married, Wifey?!",2254,12942,10689,12463,10210
Chapter 989: That Same Feeling!,2179,12548,10370,12128,9950
Chapter 990: Gods vs. Immortals!,2335,13238,10904,12779,10445
Chapter 991: Fang Wei vs. Meng Hao!,2080,11899,9820,11444,9365
Chapter 992: I Haven't Lost Yet!,2034,11608,9575,11216,9183
Chapter 993: Upheaval in the Fang Clan!,2302,13321,11020,12853,10552
Chapter 994: The Clan in Chaos!,2272,13199,10928,12754,10483
Chapter 995: The Ji Clan Makes a Move!,2416,13792,11377,13381,10966
Chapter 996: The Battle Resumes!,1982,11613,9632,11180,9199
Chapter 997: Fang Xiushan... DIE!,2054,11643,9590,11209,9156
Chapter 998: The Fall of Fang Wei!,2172,11989,9818,11527,9356
Chapter 999: The Terracotta Soldier Arrives!,2159,12471,10313,11923,9765
Chapter 1000: The Fang Clans Second Dao Realm Expert!,2197,12912,10716,12492,10296
Chapter 1001:The Ji Clans Last Secret Weapon!,2288,13110,10823,12640,10353
Chapter 1002: Who Are You!?,2182,12453,10272,11935,9754
Chapter 1003: First Generation Patriarch!,2355,13345,10991,12905,10551
Chapter 1004: The Fang Clan!,2227,12738,10512,12269,10043
Chapter 1005: Hope Regarding the Ancient Realm!,2411,13651,11241,13225,10815
Chapter 1006: The Sword and the Shield of this Generation!,2358,13271,10914,12828,10471
Chapter 1007: The Old Fox vs. the Fox Cub!,2337,13190,10854,12747,10411
Chapter 1008: Why The Echelon Exists!,2312,13185,10874,12766,10455
Chapter 1009: I'm Already Married!,2336,12964,10629,12421,10086
Chapter 1010: A Wager!,2296,12978,10683,12464,10169
Chapter 1011: Challenging the Medicine Pavilion Again!,2234,13191,10958,12704,10471
Chapter 1012: Opening the Essence Door,2220,12627,10408,12192,9973
Chapter 1013: Planning to Escape the Marriage!,2743,15680,12938,15130,12388
Chapter 1014: Sea Cleaving Heaven Defying Pill,2033,11946,9914,11563,9531
Chapter 1015: Heavenly One Thought!,2369,13721,11353,13244,10876
Chapter 1016: Old Turtle Reliance!,2300,12730,10431,12332,10033
Chapter 1017: Pursued All The Way Out of Planet East Victory,2297,13124,10828,12680,10384
Chapter 1018: Handling Old Turtle Reliance!,2199,12527,10329,12060,9862
Chapter 1019: The Hunting of Li Linger!,2703,14881,12179,14219,11517
Chapter 1020: Brushing Past!,2310,13110,10801,12617,10308
Chapter 1021: Pursued into the Ruins of Immortality!,2094,12149,10056,11692,9599
Chapter 1022: Pipe Down!,2261,12931,10671,12454,10194
Chapter 1023: The Mountain and Sea Realm Alliance!,1993,11395,9403,10976,8984
Chapter 1024: A Paragon Slaughters a Dao Protector!,2141,11894,9754,11509,9369
Chapter 1025: Soulsearching Yi Fazi,1982,11403,9422,11012,9031
Chapter 1026: 33 Realms; Mountain and Sea Tribulation!,2313,13480,11168,12998,10686
Chapter 1027: Stirring Up a Sea of Insects!,2261,12802,10542,12380,10120
Chapter 1028: Stealing My Business?!?!,2189,12392,10204,12057,9869
Chapter 1029: You're the Insect Demon!,2196,12414,10219,12003,9808
Chapter 1030: Su Yan!,2172,12438,10267,12001,9830
Chapter 1031: Trying to Control the Black Beetles,2066,11877,9812,11483,9418
Chapter 1032: Chasing Down Su Yan!,2412,13557,11146,13144,10733
Chapter 1033: The Might of the Echelon!,2145,12256,10112,11853,9709
Chapter 1034: Were Not Suited,2234,12444,10211,11918,9685
Chapter 1035: The Meat Jelly was the Lightning Emperor?,2436,13679,11244,13180,10745
Chapter 1036: Nine Seas God World!,2118,11774,9657,11435,9318
Chapter 1037: Hostility!,2437,13813,11377,13413,10977
Chapter 1038: I Promise Not to Kill You!,2222,12624,10403,12210,9989
Chapter 1039: I Have Proof!,2329,13554,11226,13095,10767
Chapter 1040: Dont Provoke Me!,2410,13642,11233,13236,10827
Chapter 1041: The Origin,2356,13408,11053,12972,10617
Chapter 1042: Trial by Fire of the Windswept Realm,2263,12873,10611,12388,10126
Chapter 1043: The Answer!,2442,13853,11412,13391,10950
Chapter 1044: Initial Absorption of Paragon Blood!,2116,11851,9736,11432,9317
Chapter 1045: ROCKED!,2177,12402,10226,11954,9778
Chapter 1046: An Iron Chicken That Can Also Pluck Feathers!,2203,12488,10286,12055,9853
Chapter 1047: Magic Pod Soldiers!,2320,13010,10691,12533,10214
Chapter 1048: A Wager!,2329,12904,10576,12450,10122
Chapter 1049: The Ninth Golden Door!,2159,12198,10040,11756,9598
Chapter 1050: Celestial Warrior!,2254,12678,10425,12255,10002
Chapter 1051: Top 10!,1909,11082,9174,10667,8759
Chapter 1052: Passing on Body Cultivation Techniques,2187,12458,10272,11999,9813
Chapter 1053: Demonic Provocation!,2380,13363,10984,12938,10559
Chapter 1054: Little Haowie Needs To Be a Good Boy,2382,13122,10741,12619,10238
Chapter 1055: Which Paragon Did This Blood Come From!?,2224,12548,10325,12136,9913
Chapter 1056: The Mountains and Seas are Rocked!,2181,12430,10250,11989,9809
Chapter 1057: Immortal Emperor Meng Hao!,2111,12338,10228,11939,9829
Chapter 1058: The Echelon Reacts!,2281,12867,10587,12403,10123
Chapter 1059: Allheaven Dao Immortal!,2236,12987,10752,12558,10323
Chapter 1060: Threats!,2234,12689,10456,12252,10019
Chapter 1061: I Cant Hurt You?!,2110,11983,9874,11553,9444
Chapter 1062: Boiling Sea!,2001,11185,9185,10865,8865
Chapter 1063: Paragon Rocks the Might of the Sea!,2096,12031,9936,11646,9551
Chapter 1064: Annihilating the Eight Demons!,2170,12417,10248,12017,9848
Chapter 1065: Towering Killing Intent!,2050,11885,9836,11497,9448
Chapter 1066: Elder Hai Sheng!,2063,11500,9438,11125,9063
Chapter 1067: Deadly Catastrophe!,2536,14453,11918,13981,11446
Chapter 1068: Who Dares to Save Him!?,1907,10805,8899,10462,8556
Chapter 1069: The Ninth Sea is Enraged!,1999,11224,9226,10815,8817
Chapter 1070: Slaughtering a Path Through the Sect,2259,13020,10762,12583,10325
Chapter 1071: Living Shield!,2201,12492,10292,12097,9897
Chapter 1072: The Disgrace of the Body Cultivation World!,2091,11882,9792,11451,9361
Chapter 1073: Allheaven Immortal!,2154,12209,10056,11797,9644
Chapter 1074: Tongue As Sharp As a Sword,2222,12576,10355,12114,9893
Chapter 1075: The Special Fifth Golden Gate,2212,12629,10418,12194,9983
Chapter 1076: Blind!,1947,11179,9233,10781,8835
Chapter 1077: Dao Divinity Scripture!,2040,11662,9623,11237,9198
"Chapter 1078: Eight Gates, All Top 10!",2069,11786,9718,11408,9340
Chapter 1079: Omen of the Door of the Ancient Realm,2238,12378,10141,11961,9724
Chapter 1080: Crimson Door of the Ancient Realm,2050,11677,9628,11286,9237
"Chapter 1081: Summoning Soul Lamps, Stepping Into the Ancient Realm!",2137,12215,10079,11769,9633
Chapter 1082: The Third Fist Strike!,2078,11659,9582,11173,9096
Chapter 1083: Lord Fifth's Grand Ambition!,2306,12796,10491,12266,9961
Chapter 1084: The Path to the Windswept Realm!,2028,11463,9436,10998,8971
Chapter 1085: Arriving in the Windswept Realm!,2338,13143,10806,12736,10399
Chapter 1086: Desire in the Windswept Realm!,2279,13032,10754,12651,10373
Chapter 1087: Eradication!,2145,12569,10425,12181,10037
Chapter 1088: The First Death in the Windswept Realm!,2063,11801,9739,11417,9355
Chapter 1089: Whos Fighting and Whos Watching?,2137,12123,9987,11696,9560
Chapter 1090: The Echelon's Declarations of War!,2199,12506,10308,12110,9912
Chapter 1091: The Scheming of Jian Daozi,2167,12554,10388,12122,9956
Chapter 1092: Demon Mantra: Mesmeric Rebuke!,2166,12324,10159,11898,9733
Chapter 1093: His Name Shakes the Echelon!,2183,12528,10346,12097,9915
Chapter 1094: The War of the Nine Nations Begins,1986,11480,9495,11116,9131
Chapter 1095: Loathing Meng Hao!,2237,12951,10715,12509,10273
Chapter 1096: Han Qinglei!,2001,11552,9552,11175,9175
Chapter 1097: Valiant!,2033,11863,9831,11439,9407
Chapter 1098: Blades Clash!,1983,11555,9573,11109,9127
Chapter 1099: Victory!,2675,15588,12914,14999,12325
Chapter 1100: Fate!,2122,11944,9823,11553,9432
Chapter 1101: Slaughtering Into the National Aura Mountain!,2121,12441,10321,12060,9940
Chapter 1102: Han Qingleis Plot!,2012,11771,9760,11389,9378
Chapter 1103: The Most Powerful Path of Immortality!,2107,12185,10079,11799,9693
Chapter 1104: Killing You... Will Only Take Seven Steps!,2069,11916,9848,11519,9451
Chapter 1105: What Did You Just Say?!,2168,12379,10212,12004,9837
Chapter 1106: Slaughtering Into the Fourth Nation!,1845,10321,8477,9972,8128
Chapter 1107: Goal: Number One in the Echelon!,1974,11122,9149,10720,8747
Chapter 1108: Entering Allheaven Again!,1989,11380,9392,11073,9085
Chapter 1109: The Echelon War Truly Begins!,2103,12136,10034,11690,9588
Chapter 1110: What Are You Doing!?,2040,11897,9858,11449,9410
Chapter 1111: Fatality!,2147,12227,10081,11817,9671
Chapter 1112: Goodwill!,2046,11684,9639,11305,9260
Chapter 1113: Killing Hai Dongqing Three Times!,2092,12047,9956,11638,9547
Chapter 1114: Thou Shalt Call Me... Dao Fang!,2072,11623,9552,11179,9108
Chapter 1115: Windswept Rebellion!,2048,11887,9840,11443,9396
Chapter 1116: A Meeting in the Sixth Nation!,2136,12212,10077,11681,9546
Chapter 1117: Hes Here!,2099,11953,9855,11444,9346
Chapter 1118: Fighting Dao-Heaven!,1950,11427,9478,10991,9042
Chapter 1119: Hong Bin Dies in Battle!,2111,12233,10123,11803,9693
Chapter 1120: The Light of the Allheaven!,1991,11516,9526,11081,9091
Chapter 1121: The Most Powerful State!,2027,11521,9495,11079,9053
Chapter 1122: I Call Him Slaughter!,2128,12320,10193,11826,9699
Chapter 1123: Dao-Heaven Retreats!,2163,12401,10239,11941,9779
Chapter 1124: For the True Dao!,2008,11723,9716,11250,9243
Chapter 1125: Take Its Place!,2017,11634,9618,11187,9171
Chapter 1126: Hold the Tunnel!,2064,11839,9776,11419,9356
Chapter 1127: You're Zong Wuya!,2001,11817,9817,11454,9454
Chapter 1128: True Dao?,2038,11748,9711,11375,9338
Chapter 1129: The Blood Mastiff Flies!,1960,11316,9357,10913,8954
Chapter 1130: Muddling the Dao!,2182,12182,10001,11676,9495
Chapter 1131: Xueer!,2298,12951,10654,12458,10161
Chapter 1132: Shamed Into Rage!,2212,12528,10317,12004,9793
Chapter 1133: What Will You Put Aside?!,2350,13209,10860,12651,10302
Chapter 1134: The Echelon Heart!,1750,10191,8442,9838,8089
Chapter 1135: Leave The Rest To Me!,1927,11195,9269,10795,8869
Chapter 1136: Meng Hao Busts Out!,2091,12157,10067,11704,9614
Chapter 1137: Drastic Upheavals!,1796,10549,8754,10202,8407
Chapter 1138: Obvious Bait!,1844,10764,8921,10388,8545
Chapter 1139: Toxic Qi Flow!?,2039,11882,9844,11486,9448
Chapter 1140: Eternal Allheaven Immortal!,1960,11386,9427,10988,9029
Chapter 1141: The Echelon Fights Meng Hao!,2022,11701,9680,11316,9295
Chapter 1142: Who Requested My Presence?!,2132,12426,10295,11941,9810
Chapter 1143: Echelon Battles!,2032,11922,9891,11531,9500
Chapter 1144: Zong Wuya Makes a Move!,2139,12238,10100,11772,9634
"Chapter 1145: When Theres Tasty Bait, the Fishes Bite!",1961,11298,9338,10895,8935
Chapter 1146: What Makes You Think Ill Give Them To You!?,1978,11452,9475,11061,9084
Chapter 1147: Traitorous Sutra of the Rebel Dao,1991,11560,9570,11092,9102
"Chapter 1148: You Killed My Son, Prepare To Die!",2195,12391,10197,11981,9787
Chapter 1149: An Arrow Rocks the Heavens!,2013,11444,9432,11047,9035
Chapter 1150: Allheaven Fang Clan!,2162,12070,9909,11715,9554
Chapter 1151: Questioning Sea Dream!,2201,12413,10213,11873,9673
Chapter 1152: An Act!,2110,12009,9900,11609,9500
"Chapter 1153: Too Kind-Hearted, Too Honest!",2182,12266,10085,11826,9645
Chapter 1154: Heavencloud Bazaar,2196,12511,10316,12144,9949
Chapter 1155: Mr. Moneybags!,2067,11766,9700,11314,9248
Chapter 1156: Blood-stained Jade Medallion!,2136,12349,10214,11865,9730
Chapter 1157: I Wont Buy It!,1829,10653,8825,10257,8429
Chapter 1158: Guru Heavencloud!,2230,12962,10733,12554,10325
"Chapter 1159: Forced Backward, Over and Over!",1846,10970,9125,10659,8814
Chapter 1160: The Fang Clan Arrives!,2082,12073,9992,11675,9594
Chapter 1161: The Old Fox,2294,13143,10850,12676,10383
Chapter 1162: Heavencloud Steps into the Dao!,2036,11853,9818,11381,9346
Chapter 1163: Failing To Step Into the Dao!,1968,11476,9509,11079,9112
Chapter 1164: Eternal Patriarch!,2171,12768,10598,12311,10141
Chapter 1165: The Whole Clan Pays Respects!,2141,12120,9980,11780,9640
"Chapter 1166: Dad, Mom, Haoer Has Come Back!",2085,11837,9753,11399,9315
"Chapter 1167: Get Back Here, Meng Hao!",2355,13124,10770,12645,10291
Chapter 1168: Settling Karma with Old Friends,2417,13268,10852,12784,10368
Chapter 1169: Returning to the Crow Divinity Tribe!,2016,11463,9448,11075,9060
Chapter 1170: This Place Is My Home,2006,11378,9373,10992,8987
Chapter 1171: Im Meng Hao!,2193,12417,10225,12034,9842
"Chapter 1172: A Sermon On The Dao, By The Sacred Ancient!",2275,13085,10811,12656,10382
Chapter 1173: Another Encounter With Shui Dongliu!,1961,10865,8905,10502,8542
Chapter 1174: Dismemberment by Five Dragons!,2045,11508,9464,11125,9081
Chapter 1175: Channeling the Spark!,2013,11374,9362,11008,8996
Chapter 1176: Great Circle: Fleshly body!!,2141,12082,9942,11675,9535
Chapter 1177: True Dao Immortal!,1788,10359,8572,9991,8204
Chapter 1178: Peak!,1951,10981,9031,10630,8680
Chapter 1179: The Curse of Dao Fang!,1954,11052,9099,10687,8734
Chapter 1180: Most Powerful State!,1709,10060,8352,9669,7961
Chapter 1181: Your Words are Meaningless!,1914,10874,8961,10534,8621
Chapter 1182: Great Tang; Allheaven!,2332,13277,10946,12813,10482
Chapter 1183: Facing Tribulation in a Mysterious Location!,1978,11359,9382,10944,8967
Chapter 1184: Dao Tribulation!,1922,11589,9668,11221,9300
Chapter 1185: Allheaven Tribulation!,1984,11826,9843,11414,9431
Chapter 1186: The Murderous Intentions of the Ninth Lord!,2128,11977,9850,11585,9458
Chapter 1187: Father Achieves the Dao!,2053,11646,9594,11190,9138
Chapter 1188: South Heaven Death Formation!,2016,11570,9555,11169,9154
Chapter 1189: Father Must Not Perish!,2024,11395,9372,10987,8964
Chapter 1190: Grand Ceremony in the Fang Clan!,2370,13612,11243,13247,10878
Chapter 1191: Fighting for Dad!,2100,11760,9661,11310,9211
Chapter 1192: Enigmatic Quasi-Dao Expert!,2116,12137,10022,11753,9638
Chapter 1193: Dont Dare to Fight?,1882,10716,8835,10362,8481
Chapter 1194: Cutting Them Down!,2014,11606,9593,11233,9220
Chapter 1195: Eighth Life!,1884,10606,8723,10235,8352
Chapter 1196: Taking Away the Terracotta Soldier!,2095,11937,9843,11551,9457
Chapter 1197: Stopping By To Demand Payment!,1901,10815,8915,10423,8523
Chapter 1198: Repay Your Kindness!,2187,12387,10201,11918,9732
Chapter 1199: The Outrage of the Bridge of Immortality!,2104,11852,9749,11467,9364
Chapter 1200: Absorbing the Bridge of Immortal Treading!!,1962,11475,9514,11082,9121
Chapter 1201: Son of the Mountains and Seas!,2057,11739,9683,11321,9265
Chapter 1202: Forever and Ever!,2151,12010,9860,11499,9349
Chapter 1203: Old Friends,2158,11853,9696,11380,9223
"Chapter 1204: As Of Now, Its Called the Paragon Bridge!",2467,13906,11440,13383,10917
Chapter 1205: Slaughter Appears Again!,2211,12346,10136,11913,9703
Chapter 1206: Daoist Magic of Time!,2068,11684,9617,11282,9215
Chapter 1207: Grievous News!,2209,12463,10255,11945,9737
Chapter 1208: Slaying Ji Dongyang Again!,1929,11132,9204,10726,8798
Chapter 1209: Mountains Have No Worries,2052,11425,9374,10955,8904
Chapter 1210: Using Karma to Track the Soul,2100,11808,9709,11369,9270
Chapter 1211: Immortal Ancient Builds a Bridge Leaving the Ninth Mountain!,2149,12392,10244,11982,9834
